साफेँबगर नगरपालिकाकाे चाैथाे नगरपरिषद्का निर्णयहरु,
निर्णय नं. १,"वडा नागरीक मञ्च, वडा भेला, एकीकृत योजना तर्जुमा समिति हुँदै सहभागीतामूलक रुपमा आएका योजना तथा कार्यक्रमलाई प्राथमिकता दिई विभिन्न सामाजिक भौतिक पूर्वाधार, प्रवद्र्धनात्मक, तथा महिला लक्षित, बालबालिका लक्षित र अन्य लक्षित अन्तर्गतका आयोजना तथा कार्यक्रमहरु तालिका नं क्रमशः छनौट गर्ने निर्णय गरीयो ।"
,
निर्णय नं. २,आयोजना व्यवस्थापन खर्च कन्टेन्जेन्सी रकमबाट प्रस्तुत तालिका बमोजिमका कार्यक्रमहरु संचालन गर्ने निर्णय गरियाे । 
,
निर्णय नं. ३,फोहरमैला व्यवस्थापनका लागि वातावरणीय दृष्टिले उपयुक्त देखिएको जग्गा खरिदकाले लागि प्रक्रिया अगाडी बढाई ल्याण्ड फिल साईट निर्माणका लागि आवश्यक आर्थिक साधन स्रोतका लागि नेपाल सरकार समक्ष अनुरोध गर्ने निर्णय गरीयो ।
,
निर्णय नं. ४,"शहरी स्वास्थ्य केन्द्र, प्रसुती गृह, शौचालय तथा घेरा पर्खाल पुर्वाधार विकासका कार्यहरु गर्नको लागि स्वास्थ्य मन्त्रालय, स्वास्थ्य सेवा विभागमा अनुरोध गर्ने निर्णय गरीयो ।"
,
निर्णय नं. ५,यस नगरपालिकालाई नेपाल नगरपालिका संघ संग आवद्घता निरन्तरता दिने निर्णय गरीयो ।
,
निर्णय नं. ६,नगरपालिका भित्र बस पार्किंग स्थल व्यवस्थापन तथा निर्माणको लागि कार्यदल बनाई आवश्यक व्यवस्था गर्न नगरपालिकालाई निर्देशन दिने निर्णय गरीयो । सोका लागि नगर विकास कोष संगको लगानीमा गर्ने निर्णय गरीयो ।
,
,
निर्णय नं.७,"नगरपालिकाको कार्यालय व्यवस्थापन, संचालन, स्रोत साधनको व्यवस्थापनको लागि यस अघिको नगर परिषदबाट स्वीकृत प्रशासनिक र प्राविधिक दरवन्दीहरु कायमै राखी कार्यरत कर्मचारीहरुलाई निरन्तरता दिने निर्णय गरीयो ।"
,
निर्णय नं. ८,नगरपालिका क्षेत्रभित्र विद्युत लाईन र टेलिफोन लाईन विस्तार नभएका क्षेत्रमा उक्त लाईन विस्तार गर्न सम्बन्धित निकायमा अनुरोध गर्ने निर्णय गरीयो ।
,
,
निर्णय नं. ९,"शहरी विकास मन्त्रालय, शहरी विकास तथा भवन निर्माण विभागको सहयोग र नगर विकास समितिको समन्वयमा नगर क्षेत्रको समग्र नगर विकास योजना बनाई नगर क्षेत्रको विकास कार्य अगाडि बढाउने निर्णय गरीयो ।"
,
,
निर्णय नं. १०,यस नगरपालिकाले तयार गरेको टोल विकास संस्था कार्यविधि २०७३ लागू गर्ने निर्णय गरीयो ।
,
,
निर्णय नं. ११,नगरपालिका भित्र व्यवस्थित रुपमा शव दाहको व्यवस्था नभएकोले शव दाह गृह निर्माणका लागि सम्बन्धित निकायमा सिफारिस गर्ने निर्णय गरीयो ।
,
,
निर्णय नं. १२,"स्थानीय निकाय स्रोत परिचालन तथा व्यवस्थापन कार्यविधि,२०६९, को परिच्छेद ५ को दफा ३३ को उपदफा २ बमोजिम नगर भित्र संचालित योजना तथा कार्यक्रमको अनुगमन गर्ने प्रयोजनको लागि सुपरिवेक्षण तथा अनुगमन समिति बनाई कार्यान्वयन गर्न नगरपालिकालाई अख्तियारि दिने निर्णय गरीयो ।"
,
,
निर्णय नं. १३,नगर स्तरमा जलवायु परिवर्तनको नकारात्मक असरलाई न्यून गर्न सो क्षेत्रमा कार्यरत सरकारी तथा गैर सरकारी संस्थाहरुसंग समन्वय गरी कार्यक्रम संचालन गर्ने निर्णय गरीयो ।
,
,
निर्णय नं. १४,सामाजिक सुरक्षा भत्ता पाउने सवै व्याक्तिहरुलाई बैंकिंग प्रणालि मार्फत भत्ता वितरण गर्ने व्यवस्था लाई निरन्तरता दिन नगरपालिका कार्यालयलाई निर्देशन दिने निर्णय गरीयो ।
,
,
निर्णय नं. १५,हाट बजार व्यवस्थापनको लागि सरकारी तथा गैर सरकारी निकाय संग समन्वय गरी गर्ने निर्णय गरीयो ।
,
,
निर्णय नं १६,चालु आ.व. ०७३÷०७४ मा व्यवसाय कर उठाउनको लागि व्यवसाय दर्तागर्न अभिप्रेरित गरी अभियानको रुपमा कर शुल्क उठाउन नगरपालिका कार्यालयलाई निर्देशन दिने निर्णय गरीयो ।
,
,
निर्णय नं. १७,नगर स्तरीय यातायात गुरु योजना कार्यान्वयन गर्न नगरपालिका कार्यालयलाई निर्देशन दिने निर्णय गरीयो ।
,
,
निर्णय नं. १८,"जिल्ला कृषि विकास कार्यालय, जिल्ला पशु सेवा कार्यालय, घरेलु तथा साना उद्योग कार्यालय संग समन्वय र सहकार्य गरी सीपमूलक र आयमूलक उत्पादन मूलक कार्यक्रम संचालन गर्ने निर्णय गरीयो ।"
,
,
निर्णय नं. १९,आ.व. ०७४÷०७५ मा प्रस्ताव गरीएको आय बाहेक कुनै स्रोतबाट रकम प्राप्त भएमा पुँजीगत कार्य गर्ने अवस्था आएमा सो को लागि वडा स्तरबाट प्रस्ताव भई आएका कार्यक्रमहरु मध्येबाट प्राथमिकताको आधारमा छनौट गर्न नगरपालिका बोर्डलाई अख्तियारी दिने निर्णय गरीयो ।
,
,
निर्णय नं. २०,"आ.व.०७३÷०७४ को २०७३ पौष २४ गते सम्मको पेश भएको संशोधित आय व्ययको समर्थन गर्ने निर्णय गरीयो । साथै आ.व.०७४÷०७५ को लागि अनुमानित आय र व्ययको अनुमान स्वीकृत गरी चालु आ.व. को वार्षिक कार्यक्रमहरु संशोधन सहित स्वीकृत तथा आ.व. २०७४÷०७५ को लागि पेश भएको वार्षिक नीति, कार्यक्रम तथा अनुमानित वजेट अनुमोदन एवंं पारित गर्ने निर्णय गरीयो ।"
,
निर्णय नं. २१,"स्थानीय पत्र पत्रिका, एफ.एम. लगायत संचार माध्यममा सूचना एवंं जानकारी मूलक कार्यक्रम प्रकाशन, प्रशारण गरी सेवाप्रवाहलाई प्रभावकारि र पारदर्शी गराईने व्यवस्था गर्ने निर्णय गरीयो ।"
,
निर्णय नं. २२,"कार्यालय व्यवस्थापन, कम्प्युटर समस्या समाधान, फोहर मैला व्यवस्थापन, सकरात्मक सोच लगायत, तालिम आन्तरीक र बाह्य स्रोत बाट समेत संचालन गरी नगरपालिका कार्यालय र कर्मचारीहरुलाई समयानुकुल बनाउन कार्य संचालन गर्ने निर्णय गरीयो ।"
,
,
निर्णय नं. २३,आ.व. ०७१÷०७२ र ०७२ ÷०७३ को अन्तिम लेखा परीक्षण प्रतिवेदन उपर व्यापक छलफल गरी पारित गर्ने निर्णय गरीयो ।
,
,
निर्णय नं. २४,नगर स्तरमा एलजिसिडिपीबाट संचालित सामाजिक परिचालन कार्यक्रमलाइ दिगो र प्रभावकारी रुपले संचालन गर्न थप कार्यक्रम संचालनको लागि सम्बन्धित निकायमा अनुरोध गर्ने निर्णय गरीयो ।
,
,
निर्णय नं. २५,"नगर क्षेत्र भित्र रहेको सार्वजनिक, ऐलानी, जग्गाहरुको लगत लिई संरक्षण गर्नको लागि कार्यदल बनाई न.पा.को स्वामित्वमा ल्याउन नगरपालिकालाई निर्देशन दिने निर्णय गरीयो ।"
,
,
निर्णय नं. २६, तेश्रो नगर परिषद्बाट स्वीकृत भएका तर स्रोतको कमिले कार्यान्वयन नभएका निर्णयहरु लाई बजेट प्राप्त भएमा निरन्तरता दिने निर्णय गरीयो ।
,
,
निर्णय नं. २७,"न.पा.को श्रोतका आधारमा कर्मचारीहरुलाई कार्यालयको कामको लागि सार्वजनिक विदा तथा कार्यालय समय अघि पछि काम लगाईएमा त्यसरी खटाईएको दिनको खाजा र खाना उपलब्ध गराउने र कार्यालयको कार्यबोझ तथा निर्वाचित जनप्रतिनिधी नरहेको अवस्थामा न.पा. प्रमुखको जिम्मेवारी समेत बहन गर्नुपर्ने भएकोले कार्यकारी अधिकृतलाई मासिक रु. २,५००।–, लेखापाल, ना.सु स्तरलाई रु. १,०००।–, कार्यालय सहायक र कार्यालय सहयोगी लाई मासिक रु. ५००।– २०७३ साल माघ महिना देखि सुविधा उपलब्ध गराउने निर्णय गरीयो ।"
,
,
निर्णय नं २८,"यस न.पा. को कार्यालय भवन निर्माणाधिन अवस्थामा रहेकाले आगामी आ.व. ०७३÷०७४ का लागि रु. ५०,००,०००।– (पचास लाख) सब्घीय मामिला तथा स्थानीय बिकास मन्त्रालयमा माग गर्ने निर्णय गरीयो ।"
,
,
निर्णय नं २९,"चौथो नगरपरिषद्मा हाम्रो निमन्त्रणालाई स्वीकार गरी पाल्नुभएका प्रमुख अतिथी व्यवस्थापीका संसद सदस्य एवं पूर्व उपप्रधानमन्त्री माननीय श्री भिम रावल ज्यू, विशिष्ट अतिथी पूर्व संविधानसभा सदस्य श्री शेर बहादुर कुँवर ज्यू, विशेष अतिथिद्वय अछाम जिल्लाका प्रमुख जिल्ला अधिकारी श्री कोशलराज शर्मा तिमिल्सीना ज्यू, अछाम जिल्ला विकास समितिका स्थानीय विकास अधिकारी श्री तोयनारायण सुवेदीज्यू, अछाम जिल्ला स्थीत विभिन्न राजनीतिक दलका प्रमुख ज्यूहरु, पूर्व जि.वि.स.सभापति, उपसभापति ज्यू, क्षेत्रीय सदस्य ज्यूहरु, पूर्व जन प्रतिनिधी ज्यूहरु, पत्रकार महासंघ जिल्ला सभापति ज्यू,नागरीक समाज, नगरपालिका बोर्डका सदस्य ज्यूहरु, विभिन्न सरकारी तथा गैर सरकारी कार्यालयका प्रमुख एवंं प्रतिनिधी ज्यूहरु, सुरक्षा निकायका प्रमुख ज्यूहरु, क्याम्पस प्रमुख एवंं प्राचार्य ज्यूहरु, लगायत वडा नागरीक मंच लगायत परिषद् उद्दघाटन समारोहमा पाल्नुभएका सवै नगरबासीहरुमा हार्दिक धन्यवाद ज्ञापन गर्ने निर्णय गरीयो ।"
,
,
निर्णय नं. ३०,"यस कार्यालयमा अस्थायी तथा करारमा कार्यरत कर्मचारीहरुको म्याद समाप्त भएको मिति देखि लागू हुने गरी हाललाई २०७४ आषाढ मसान्त सम्म म्याद थप गर्ने निर्णय गरीयो । साथै अस्थायी, सेवा करारमा कार्यरत कर्मचारी र सहजकर्ताहरुको हकमा न.पा.को स्रोत, कार्यबोझ र कार्यक्षमताका आधारमा सुविधा उपलब्ध गराई म्याद थप गर्न न.पा. बोर्डलाई अख्तियारी दिने निर्णय गरीयो ।"
,
,
निर्णय नं. ३१,"सब्घीय मामिला तथा स्थानीय विकास मन्त्रालयका श्रीमान सचिव ज्यू र यस नगरपालिकाका कार्यकारी अधिकृत ज्यू बवच भएको कार्यसम्पादन सम्झौताको बुँदामा उल्लेख भए अनुसार “खुला क्षेत्र घाेषणा” का माध्यमद्वारा भूकम्प, विपद वा अन्य प्रयोजनका लागि नगरपालिकाले नगरको निश्चित क्षेत्रलाई खुला क्षेत्र तोकि उक्त (सार्वजनिक, प्रर्ती, ऐलानी जग्गा) क्षेत्रका बारेमा सवैको जानकारीको लागि प्रकाशन गर्न स्थानीय विकास मन्त्रालय मार्फत गृह मन्त्रालयमा अनुरोध गर्न न.पा. बोर्ड लाई अख्तियारी दिने निर्णय गरीयो ।"
,
,
निर्णय नं. ३२,नगरपालिका कार्यालयका विरुद्घ पर्न आउने मुद्दाको प्रतिरक्षा गर्ने अधिकार कार्यकारी अधिकृत लाई प्रत्यायोजन गर्ने निर्णय गरीयो ।
,
,
निर्णय नं. ३३,यस नगरपालिका कार्यालयमा कार्यरत कर्मचारीहरुको आ.व. ०७३÷०७४ को लागि प्रस्ताव गरेको तलवी प्रतिवेदन पारित गर्ने निर्णय गरीयो ।
,
,
निर्णय नं. ३४,मिति २०७२÷९÷२९ देखि २०७३÷०९÷२५ सम्म नगरपालिकाबाट भएका निर्णयहरु अनुमोदन गर्ने निर्णय गरीयो । 
,
,
निर्णय नं. ३५,आ.व. ०७३÷०७४ को प्रथम चौमासिकको प्रगति समीक्षा स्वीकृत गरी प्राप्त सुझावहरु कार्यान्वयन गर्ने निर्णय गरीयो ।
,
,
निर्णय नं. ३६,"न.पा. बोर्ड, परिषद्, राजश्व परामर्श समिति र अन्य समितिका सदस्यहरुलाई बैठक भत्ता बापत प्रति बैठक रु ५००।– र पदपुर्ति समितिका अध्यक्ष एवंम् सदस्यहरुलाई प्रति बैठक रु. १,०००।– बैठक भत्ता, यातायात खर्च तथा नियमानुसार दैनिक भ्रमण भत्ता उपलब्ध गराउने निर्णय गरीयो ।"
,
,
निर्णय नं. ३७,नगरपालिका क्षेत्र भित्र निर्माण हुने सरकारी तथा सार्वजनिक भवनहरु अपांग मैत्री भएमा मात्र नक्सा पास प्रक्रिया अगाडी बढाउने निर्णय गरीयो ।
,
,
निर्णय नं. ३८,यस न.पा.द्घारा अत्यावश्यक कार्य गर्नुपर्दा न.पा.बोर्डलाई अख्तियारी दिने निर्णय गरीयो ।
,
निर्णय नं. ३९,"आफ्नो वा सगोल परिवार र एकाघरका सदस्यले न.पा.लाई बुझाउनु पर्ने कर, शुल्क, दस्तुर समयमा भुक्तानी नगरी बक्यौता कायम राख्ने करदातालाई न.पा.बाट प्रदान गरीने कुनैपनि सिफारिस, सेवा सुविधा रोक्का गर्न सकिनेछ । तर बुझाउने समयावधि रहेको अवस्थामा (चालु आ.व.) त्यस्तो बन्देज गरीने छैन ।"
,
निर्णय नं. ४०,"स्थानीय स्वायत्त शासन ऐन, २०५५, स्थानीय स्वायत्त शासन नियमावली २०५६, स्थानीय निकाय आर्थिक प्रशासन नियमावली, २०६४ र नेपाल सरकारको नीतिगत निर्णय बमोजिम जिल्ला विकास समिति मार्फत नगरपालिकाले प्राप्त गर्नुपर्ने रोयल्टी, जग्गा रजिष्ट्रेशन लगायतका राजश्व बाँडफाँड रकमलाई स्पष्ट विवाद रहित नियमित उपलब्ध गरीदिन सम्बन्धित निकायमा अनुरोध गर्ने निर्णय गरीयो ।"
,
निर्णय नं. ४१,नगरपालिकाको नागरीक बडापत्र लाई अझ प्रभावकारी रुपमा लागू गरी कार्यान्वयन गर्ने निर्णय गरीयो । 
,
निर्णय नं. ४२,नगरपालिका क्षेत्र भित्र कुनै पनि प्रकारका विज्ञापन गर्दा न.पा. बाट पूर्व स्वीकृत लिएर मात्र गर्ने गराउने निर्णय गरीयो ।
,
निर्णय नं. ४३,"सुरक्षा, सरसफाई, खानेपानी, विद्युत लगायतका कार्यहरुमा आवश्यक पर्ने जनशक्ति सेवा करारमा लिई कार्य गराउने निर्णय गरीयो ।"
,
,
निर्णय नं. ४४,नगरपालिकाबाट आयोजना गरीने सार्वजनिक सुनुवाईमा उठाउने विषय वस्तु र सुझावहरुलाई एकीकृत गरी सो कार्यक्रममा सहजीकरणका लागि खटिने सहजकर्ता विज्ञले दिने प्रतिवेदन छलफल गरी सुनुवाईको प्रतिवेदन पारित गर्ने अधिकार न.पा.बोर्डलाई दिने निर्णय गरीयो ।
,
निर्णय नं. ४५,"न.पा.द्घारा आयोजना गरीने विभिन्न तालिम, प्रशिक्षण कार्यक्रममा विज्ञ÷सहजकर्ताहरुको पारिश्रमिक दर देहाय बमोजिम निर्धारण गर्ने निर्णय गरीयो ।"
,
,
अान्तरिक श्राेत व्यक्ति,
१) अधिकृत स्तर – १५००।० २) सहायक स्तर – १०००।०,
निर्णय नं ४६,साथै बाह्य स्रोत व्याक्ति र सहजकर्ताहरुको पारिश्रमिक प्राप्त प्रस्ताव माथि बवचार गरी नगरपालिका कार्यालय द्धारा तोके बमोजिम हुनेछ ।
,
निर्णय नं ४७,स्थानीय स्वायत्त शासन ऐन तथा नियमावली तथा स्थानीय श्रोत परिचालन तथा व्यवस्थापन कार्यविधि २०६९ बमोजिम नगर क्षेत्रमा संचालित विभिन्न कार्यक्रम तथा आयोजनाहरुको समग्र अनुगमनका लागि एक अनुगमन तथा सुपरीवेक्षण समिति गठन गर्ने निर्णय गरियो ।
,
निर्णय नं ४८,"आ.व २०७४।०७५ काल लागि कर, शुल्क तथा दस्तुरहरु देहायबमोजिम लागु गर्ने निर्णय गरियो ।"
,
निर्णय नं ४९,अव्यवस्थित बसोबास भएका ठाउँहरुमा व्यवस्थित बसोबास र जग्गाधनी प्रमाण पुर्जाका लागि आवश्यक पहल गर्ने निर्णय गरियो ।
,
निर्णय नं ५०,"सार्वजनिक सुुनुवाइ, सामाजिक परिक्षण आदीलाई थप प्रभावकारी रुपमा कार्यान्वयन गर्ने निर्णय गरियो ।"
,
निर्णय नं ५१,"सडक बोर्ड नेपाल, नगरक्षेत्र पूर्वाधार कोष, नगर विकाष कोष र अन्य विकायबाट प्राप्त योजनाहरुको छनौछ गर्नका लागि नगरपालिका बोर्डलाई अधिकार दिने निर्णय गरियो ।"
,
निर्णय नं ५२,नगरपालिकाको कामकारवाहीलाई पारदर्शी बनाउन सबै निर्णयहरु वेभसाइटमार्फत सार्वजनिक गर्ने निर्णय गरियो ।
,
,
निर्णय नं ५३,आ.व २०७४।०७५ का लागि देहाय बमोजिमका योजनाहरु स्वीकृत गरियो ।
,
निर्णय नं ५४,देहाय बमोजिमाका योजनाहरु जिल्ला र केन्द्रमा माग गर्ने निर्णय गरियो ।
,
निर्णय नं ५५,नगरस्तरीय विकास निर्माण कार्यमा प्रयोग हुने निर्माण सामग्री तथा कच्चापदार्थको गुणस्तर मापदण्ड निर्माण गरी लागु गर्ने निर्णय गरियो ।
,
निर्णय नं ५६,नगरपालिकाले देश भित्रका कुनै एक नगरपालिका सँग भगिनी सम्बन्ध विस्तार गर्ने निर्णय गरियो ।
,
निर्णय नं ५७,"जिम्मेवारी अनुसारको कार्यालयको कामकारवाहीलाई छिटो, छरितो र व्यवस्थित गरी जनमुखी सेवा दिने उद्देश्यले कामको चाप र प्रकृति अनुसारको प्रत्येक शाखाको कामकारवाहीलाई चुस्त तथा मितव्ययी बनाउन समयसापेक्ष संगठन विकास अध्ययन प्रतिवेदन तयार गरी लागु गर्ने निर्णय गरियो ।"
,
निर्णय नं ५८,नगरपालिकाले सम्बन्धित मन्त्रालयसँग समन्वय गरी नगरका कम्तिमा एक वस्तिमा होमस्टे कार्यक्रम संचालन गर्ने निर्णय गरियो ।
,
निर्णय नं ५९,नगरपालिकाले रु ६० लाख भन्दा माथीका सबै प्रकारको ठेक्कामा इसवमिसन लागु गर्ने निर्णय गरियो ।
,
निर्णय नं ६०,नगरपालिकाले वित्तिय सुशासन कार्ययोजना निर्माण गरी वित्तीय सुशासन कायम गर्न म्याद नाघेका पेश्की तथा बेरुजुलाई सुन्य प्रतिशत बनाउन आवश्यक पहल गर्ने निर्णय गरियो ।
,
निर्णय नं ६१,नगरपालिकाको आन्तरिक आयमा अघिल्लो वर्ष भन्दा कम्तिमा ५० प्रतिशतले वृद्धि गर्न हरतरहले प्रयास गर्ने निर्णय गरियो ।
,
निर्णय नं ६२,नगरपालिकाको सक्रियतामा वडाहरुमा शहरी स्वास्थ्इ क्लिनिक संचालनका लािग आवश्यक पहल गर्ने निर्णय गरियो ।
,
निर्णय नं ६३,नगरपालिका सहितको सक्रियतामा वर्षमा कम्तिमा एकपटक सरसफाई सप्ताह कार्यक्रम गरी भव्य रुपमा सम्पन्न गर्ने निर्णय गरियो ।
,
निर्णय नं ६४,नगरपालिकाले सम्बन्धित सबैसँग पहल र सहकार्य गरी मूल सडकका वरपर सडकबत्तीको व्यवस्था गर्ने निर्णय गरियो ।
,
निर्णय नं ६५,भूउपयोग योजना निर्माण गरी प्रभावकारी रुपमा कार्यान्वयन गर्ने निर्णय गरियो ।
,
,
निर्णय नं ६६,उपभोक्ता समिति मार्फत संचालन हुने आयोजनाहरुलाई कार्यस्थलमा स्वीकृत ढाँचामा सार्वजनिक परीक्षण गरेर मात्र अन्तिम भुक्तानी दिने व्यवस्थालाई अनिवार्य बनाउने निर्णय गरियो ।
,
निर्णय नं ६७,"नगरपालिका बोर्ड बैठकबाट हुने समिति, उपसमिति, कार्यदल बैठक, टेण्डर कोटेशन खोल्दा उपस्थित हुने प्रतिनिधिहरुलाई प्रति बैठक रु ५०० भत्ता दिने निर्णय गरियो ।"
,
निर्णय नं ६८,यस नगरपालिकाको राजश्व सम्भाव्यता अध्ययन।प्रक्षेपण गर्न एक समिति गठन गर्ने निर्णय गरियो ।
,
निर्णय नं ६९,आ.व २०७२।०७३ का लािग स्वीकृत योजना तथा कार्यक्रमहरुका भए गरेका कार्यहरुको मिति २०७३।०४।१४ गते गरिएको वार्षिक प्रगति समीक्षा गोष्ठीका प्रतिवेदन माथी छलफल गर्दा सन्तोषजनक पाइएकोले सो प्रतिवेदन अनुमोदन गर्ने निर्णय गरियो ।
,
निर्णय नं ७०,स्थानीय स्वायत्त शासन ऐन २०५५ को दफा २५० अनुसार यस नगरपालिकाको स्वीकृत मौजुदा दरबन्दीमा कार्यरत कर्मचारीको आ.व २०७२।०७३ खाइपाइ आएका तलवमान अनुमोदन गरियो ।
,
निर्णय नं ७१,बालमैत्री स्थानीय शासन कार्यान्वयन कार्यविधि २०६८ बमोजिमका आवश्यक पूर्वाधारहरु तयार गरी छिटै बालमैत्री स्थानीय शासन लागु गर्न आवश्यक सूचकहरु पूरा गर्न पहल गर्ने निर्णय गरियो ।
,
निर्णय नं ७२,यस नगरपालिकामा प्रकोप व्यवस्थपन समिति गठन गरी Disaster Risk Management Plan तयार गरी लागु गर्ने निर्णय गरियो ।
,
निर्णय नं ७३,नगरपालिकाको क्षेत्रमा सामाजिक सुरक्षा कार्यक्रम अन्तर्गत सामाजिक सुरक्षा भत्ता प्राप्त गर्ने व्यक्तिहरुका नामावली पुस्तिका तयार गरी वेभसाइटमा राख्ने निर्णय गरियो ।
,
निर्णय नं ७४,नगरपालिकाका सेवाग्राहीलाई मुस्कान सहितको सेवा दिन नगरपालिका कार्यालयलाई निर्देशन दिने निर्णय गरियो ।
,
निर्णय नं ७५,आ.व २०७४।०७५ मा हुने वार्षिक खरिद योजना तथा कार्य संचालन तालिका स्वीकृतका लागि नगरपालिका बोर्डलाई अधिकार प्रत्यायोजन गर्ने निर्णय गरियो ।
,
निर्णय नं ७६,आ.व २०७३।०७४ को लेखापरीक्षक नियुक्तिका लागि न.पा बोर्डलाई अधिकार प्रत्यायोजन गर्ने निर्णय गरियो ।
,
निर्णय नं ७७,"आ.व २०७३।०७४ को जिन्सी निरिक्षण, जिन्सी लिलाम, मिनाहा गर्ने कार्यका लागि नगरपालिका बोर्डलाई अधिकार प्रत्यायोजन गर्ने निर्णय गरियो ।"
,
,
निर्णय नं ७८,"चालु तथा आगामी आ.व २०७४।०७५ का बजेट, नीति तथा कार्यक्रम आवश्यकता र औचित्यता अनुसार संशोधन गर्न न.पा बोर्डलाई अधिकार दिने निर्णय गरियो ।"
,
निर्णय नं ७९,"नगरपालिकालाई धार्मिक, सांस्कृतिक र प्राकृतिक सम्पदाको विकास तथा प्रवद्धन गरी पर्यटकीय नगरीको रुपमा विकास गर्न सम्बन्धित सबै पक्षलाई परिचालन गर्ने निर्णय गरियो ।"
,
,
निर्णय नं ८०,एकीकृत र दीर्घकालिन विकासको निम्ति आवधिक पञ्चवर्षिय योजना तर्जुमा गरि कार्यान्वयन गर्ने निर्णय गरियो ।
,
निर्णय नं ८१,"विकास कार्यक्रम तथा आयोजनाहरु संचालन गर्दा सरोकारवालाहरु विच समन्वय गर्दै जनसहभागिता, पारदर्शिता र उत्तरदायित्व बढाई सुशासनको प्रत्याभूति दिने निर्णय गरियो ।"
,
,
निर्णय नं ८२,"अति विपन्न महिला, आदिवासी, दलित, मुस्लिम, अपांगलगायतलाई विकासका हरेक क्रियाकलापमा सक्रिय सहभागिताको लागी वातावरण निर्माण गरिनेछ । साथै विकासको प्रतिफलमा उनीहरुलाई समान सहभागी गराउन नगरपालिकालाई निर्देशन दिने निर्णय गरियो ।"
,
,
निर्णय नं ८३,बाल तथा मातृ शिशु स्वास्थ्य तथा पोषण सम्बन्धी कार्यक्रम संचालन गर्ने निर्णय गरियो ।
,
निर्णय नं ८४,पहिलोपटक बैँकबाट सामाजिक सुरक्षा भत वितरण गर्दा देखापरेका सम्पूर्ण समस्याहरुलाई समाधान गर्न नगरपालिका बोर्डलाई आवश्यक निर्णय गर्न अख्तियारी दिने निर्णय गरियो ।
,
,
निर्णय नं ८५,नगरपालिकालाई पूर्ण खोपयुक्त नगरपालिका घोषणा गर्न नगरपालिकालाई आवश्यक कार्य गर्न निर्देशन दिने निर्णय गरियो ।
,
,
निर्णय नं ८६,सरकारले तोकेको मापदण्ड भन्दा कम माइक्रोनको पोलिथिन झोला न.पामा प्रयोगमा निरुत्साहन गर्न आवश्यक प्रक्रिया अघि बढाउने निर्णय गरियो ।
,
,
निर्णय नं ८७,नगरपालिकालाई भ्रष्टाचार सून्य सहनशील नगरपालिका घोषणाको लागि आवश्यक प्रक्रिया अघि बढाउने निर्णय गरियो ।
,
,
निर्णय नं ८८,न.पा बाट संचालित विभिन्न कार्यक्रम तथा विकास निर्माणको क्रियाकलापहरुको राष्ट्रिय तथा स्थानीयस्तरमा प्रचारप्रसार तथा सम्प्रेषण गर्ने पत्रकारहरुमध्येबाट एकजनालाई वार्षिक रुपमा पुरस्कृत गर्ने निर्णय गरियो ।
,
,
,
निर्णय नं ८९,सफ्टवेयरमा आधारित लेखाप्रणाली संचालनमा ल्याउने निर्णय गरियो ।
,
निर्णय नं ९०,आगामी वर्षदेखी नगरक्षेत्रका उत्कृष्ट करदातालाई सम्मान गर्ने निर्णय गरियो ।
,
निर्णय नं ९१,धार्मिकस्थल वैजनाथधाममा धार्मिक पर्यटक वृद्धिको लागि आवश्यक प्रयास गर्ने र यसको संरक्षण तथा विकासको लागि गुरुयोजना तयार गरी सोहीबमोजिम कार्यक्रम संचालन गर्ने निर्णय गरियो ।
,
,
निर्णय नं ९२,नगरपालिकाभित्रका एक उत्कृष्ट युवा प्रतिभालाई वार्षिक रुपमा पुरस्कृत गर्ने निर्णय गरियो ।
,
निर्णय नं ९३,नगरपालिका क्षेत्रलाई आधारभूत अनिवार्य शिक्षाको सुनिश्चितता भएको क्षेत्र घोषणा गर्न पहल गर्ने साथै नगर शिक्षा प्रोफाइल निर्माण गर्ने निर्णय गरियो ।
,
,
निर्णय नं ९४,नगरपालिकाको आफ्नो कार्यालय परिसरको न.पा.को स्वामित्व रहेको जमिनमा घेरापर्खाल लगाई सुरक्षित र व्यवस्थित बनाउने निर्णय गरियो ।
,
,
निर्णय नं. ९५,"न.पा. मा कार्यरत सम्पूर्ण स्थायी कर्मचारीहरुलाई निजामती कर्मचारीको सेवा सुविधा अनुसार सुविधा दिने निर्णय गरीयो । साथै स्वीकृत दरवन्दीमा अस्थायी, करार, सेवा करारमा कार्यरत कर्मचारीहरुलाई न.पा.को साधन श्रोतले भ्याएसम्म सेवा सुबिधा उपलव्ध गराउने निर्णय गरीयो ।"